"taxnum","arrest_count","arrest_type"
"933588","1","INFRACTION"
"933588","128","FELONY"
"933588","255","MISDEMEANOR"
"933588","2","OTHER"
"933588","4","VIOLATION"
"959433","19","FELONY"
"959433","55","MISDEMEANOR"
"959433","6","VIOLATION"
"941300","1","INFRACTION"
"941300","23","FELONY"
"941300","92","MISDEMEANOR"
"941300","31","VIOLATION"
"972490",NA,NA
"954451",NA,NA
"932231","59","FELONY"
"932231","205","MISDEMEANOR"
"948173","1","INFRACTION"
"948173","5","FELONY"
"948173","205","MISDEMEANOR"
"948173","93","VIOLATION"
"951475","1","INFRACTION"
"951475","4","FELONY"
"951475","41","MISDEMEANOR"
"951475","16","VIOLATION"
"972491","6","FELONY"
"972491","6","MISDEMEANOR"
"947962","6","FELONY"
"947962","23","MISDEMEANOR"
"947962","5","VIOLATION"
"971298","1","MISDEMEANOR"
"965643","12","FELONY"
"965643","18","MISDEMEANOR"
"941301","1","INFRACTION"
"941301","16","FELONY"
"941301","56","MISDEMEANOR"
"941301","12","VIOLATION"
"968910","3","MISDEMEANOR"
"954452","4","INFRACTION"
"954452","19","FELONY"
"954452","43","MISDEMEANOR"
"954452","8","VIOLATION"
"957311","1","INFRACTION"
"957311","4","FELONY"
"957311","18","MISDEMEANOR"
"944301","3","INFRACTION"
"944301","14","FELONY"
"944301","92","MISDEMEANOR"
"944301","31","VIOLATION"
"918669",NA,NA
"960115","1","INFRACTION"
"960115","15","FELONY"
"960115","34","MISDEMEANOR"
"960115","1","VIOLATION"
"951476","3","FELONY"
"951476","37","MISDEMEANOR"
"956362","25","FELONY"
"956362","51","MISDEMEANOR"
"956362","1","VIOLATION"
"932232","7","FELONY"
"932232","27","MISDEMEANOR"
"955701","43","FELONY"
"955701","66","MISDEMEANOR"
"955701","4","VIOLATION"
"949948","224","FELONY"
"949948","250","MISDEMEANOR"
"949948","1","OTHER"
"949948","14","VIOLATION"
"971775","6","MISDEMEANOR"
"948580","2","INFRACTION"
"948580","83","FELONY"
"948580","203","MISDEMEANOR"
"948580","7","VIOLATION"
"973191",NA,NA
"961589","1","INFRACTION"
"961589","46","FELONY"
"961589","82","MISDEMEANOR"
"961589","4","VIOLATION"
"966920","35","FELONY"
"966920","29","MISDEMEANOR"
"956363","4","FELONY"
"956363","9","MISDEMEANOR"
"956363","3","VIOLATION"
"934362","10","FELONY"
"934362","29","MISDEMEANOR"
"934362","2","VIOLATION"
"960116","1","INFRACTION"
"960116","6","FELONY"
"960116","52","MISDEMEANOR"
"960116","2","VIOLATION"
"965915","1","INFRACTION"
"965915","20","FELONY"
"965915","17","MISDEMEANOR"
"959434","8","FELONY"
"959434","79","MISDEMEANOR"
"959434","1","VIOLATION"
"943994","24","FELONY"
"943994","24","MISDEMEANOR"
"943994","22","VIOLATION"
"963364","3","FELONY"
"963364","29","MISDEMEANOR"
"952379","20","FELONY"
"952379","57","MISDEMEANOR"
"952379","4","VIOLATION"
"939839","4","FELONY"
"939839","180","MISDEMEANOR"
"939839","28","VIOLATION"
"955702","50","FELONY"
"955702","194","MISDEMEANOR"
"955702","15","VIOLATION"
"963828","12","FELONY"
"963828","30","MISDEMEANOR"
"972492","2","FELONY"
"972492","4","MISDEMEANOR"
"966921","35","FELONY"
"966921","47","MISDEMEANOR"
"953614","24","FELONY"
"953614","47","MISDEMEANOR"
"953614","1","OTHER"
"953614","4","VIOLATION"
"971776","2","MISDEMEANOR"
"941303","1","INFRACTION"
"941303","50","FELONY"
"941303","142","MISDEMEANOR"
"941303","2","VIOLATION"
"973192",NA,NA
"948581","24","FELONY"
"948581","56","MISDEMEANOR"
"948581","8","VIOLATION"
"970959","8","FELONY"
"970959","18","MISDEMEANOR"
"942890","1","INFRACTION"
"942890","70","FELONY"
"942890","129","MISDEMEANOR"
"942890","5","OTHER"
"944259","32","FELONY"
"944259","131","MISDEMEANOR"
"944259","1","VIOLATION"
"924857","4","INFRACTION"
"924857","20","FELONY"
"924857","54","MISDEMEANOR"
"924857","1","VIOLATION"
"955703","1","INFRACTION"
"955703","4","FELONY"
"955703","55","MISDEMEANOR"
"955703","2","VIOLATION"
"961590","24","FELONY"
"961590","49","MISDEMEANOR"
"962910","9","FELONY"
"962910","28","MISDEMEANOR"
"962910","2","VIOLATION"
"942923","105","FELONY"
"942923","208","MISDEMEANOR"
"942923","15","VIOLATION"
"942924","1","INFRACTION"
"942924","25","FELONY"
"942924","46","MISDEMEANOR"
"942924","6","VIOLATION"
"968207","1","INFRACTION"
"968207","3","MISDEMEANOR"
"949949","9","FELONY"
"949949","57","MISDEMEANOR"
"949949","2","VIOLATION"
"936089","11","FELONY"
"936089","19","MISDEMEANOR"
"936089","4","VIOLATION"
"948582","16","FELONY"
"948582","82","MISDEMEANOR"
"948582","4","VIOLATION"
"969444",NA,NA
"924858","117","FELONY"
"924858","276","MISDEMEANOR"
"924858","5","VIOLATION"
"973048","3","FELONY"
"973048","4","MISDEMEANOR"
"970960","5","FELONY"
"970960","7","MISDEMEANOR"
"963354","5","FELONY"
"963354","17","MISDEMEANOR"
"915211","1","FELONY"
"915211","1","MISDEMEANOR"
"915211","2","VIOLATION"
"960117","14","FELONY"
"960117","27","MISDEMEANOR"
"914653","19","INFRACTION"
"914653","31","FELONY"
"914653","115","MISDEMEANOR"
"914653","4","VIOLATION"
"971777","6","FELONY"
"971777","3","MISDEMEANOR"
"958211","30","FELONY"
"958211","55","MISDEMEANOR"
"958211","1","VIOLATION"
"954454","1","FELONY"
"954454","100","MISDEMEANOR"
"954454","8","VIOLATION"
"949950","243","FELONY"
"949950","224","MISDEMEANOR"
"949950","2","OTHER"
"949950","11","VIOLATION"
"967736","9","FELONY"
"967736","10","MISDEMEANOR"
"960119","16","FELONY"
"960119","27","MISDEMEANOR"
"945448","139","FELONY"
"945448","199","MISDEMEANOR"
"945448","3","OTHER"
"945448","4","VIOLATION"
"937932","1","INFRACTION"
"937932","34","FELONY"
"937932","142","MISDEMEANOR"
"937932","2","VIOLATION"
"957312","2","FELONY"
"957312","14","MISDEMEANOR"
"957312","2","VIOLATION"
"967737",NA,NA
"960120","11","FELONY"
"960120","23","MISDEMEANOR"
"960120","1","VIOLATION"
"960121","8","FELONY"
"960121","14","MISDEMEANOR"
"942925","3","INFRACTION"
"942925","21","FELONY"
"942925","104","MISDEMEANOR"
"942925","15","VIOLATION"
"965131","9","FELONY"
"965131","22","MISDEMEANOR"
"946717","5","FELONY"
"946717","60","MISDEMEANOR"
"946717","21","VIOLATION"
"971778","1","MISDEMEANOR"
"907684","24","FELONY"
"907684","61","MISDEMEANOR"
"958212","3","FELONY"
"958212","15","MISDEMEANOR"
"958212","2","VIOLATION"
"941306","2","INFRACTION"
"941306","397","FELONY"
"941306","354","MISDEMEANOR"
"941306","28","VIOLATION"
"879276","7","FELONY"
"879276","4","MISDEMEANOR"
"949951","19","FELONY"
"949951","132","MISDEMEANOR"
"949951","13","VIOLATION"
"969445","2","FELONY"
"969445","9","MISDEMEANOR"
"941307","2","INFRACTION"
"941307","75","FELONY"
"941307","124","MISDEMEANOR"
"941307","1","OTHER"
"941307","7","VIOLATION"
"921890",NA,NA
"941308","10","FELONY"
"941308","74","MISDEMEANOR"
"901526",NA,NA
"921101","9","INFRACTION"
"921101","59","FELONY"
"921101","63","MISDEMEANOR"
"954456","14","INFRACTION"
"954456","78","FELONY"
"954456","248","MISDEMEANOR"
"954456","7","VIOLATION"
"969446","4","FELONY"
"969446","13","MISDEMEANOR"
"964354","18","FELONY"
"964354","38","MISDEMEANOR"
"964354","3","VIOLATION"
"949953","1","FELONY"
"949953","82","MISDEMEANOR"
"949953","53","VIOLATION"
"941309","1","INFRACTION"
"941309","2","FELONY"
"941309","87","MISDEMEANOR"
"937934","29","FELONY"
"937934","36","MISDEMEANOR"
"937934","8","VIOLATION"
"966922","9","FELONY"
"966922","21","MISDEMEANOR"
"941494","34","FELONY"
"941494","251","MISDEMEANOR"
"941494","3","VIOLATION"
"933590","222","FELONY"
"933590","567","MISDEMEANOR"
"933590","1","OTHER"
"933590","9","VIOLATION"
"938882","2","INFRACTION"
"938882","39","FELONY"
"938882","95","MISDEMEANOR"
"938882","1","VIOLATION"
"959483","32","FELONY"
"959483","62","MISDEMEANOR"
"959483","1","VIOLATION"
"941310","1","INFRACTION"
"941310","105","FELONY"
"941310","146","MISDEMEANOR"
"941310","12","VIOLATION"
"947701","10","FELONY"
"947701","87","MISDEMEANOR"
"947702","4","FELONY"
"947702","123","MISDEMEANOR"
"947702","27","VIOLATION"
"965917","19","FELONY"
"965917","51","MISDEMEANOR"
"970961","4","MISDEMEANOR"
"969447","2","FELONY"
"969447","2","MISDEMEANOR"
"929583","3","FELONY"
"929583","36","MISDEMEANOR"
"964856","2","FELONY"
"964856","10","MISDEMEANOR"
"964856","1","VIOLATION"
"958213","9","FELONY"
"958213","26","MISDEMEANOR"
"945450","7","FELONY"
"945450","42","MISDEMEANOR"
"927777","1","INFRACTION"
"927777","5","FELONY"
"927777","149","MISDEMEANOR"
"927777","1","OTHER"
"927777","50","VIOLATION"
"963830","4","FELONY"
"963830","14","MISDEMEANOR"
"941311","1","INFRACTION"
"941311","23","FELONY"
"941311","96","MISDEMEANOR"
"941311","10","VIOLATION"
"954457","11","FELONY"
"954457","103","MISDEMEANOR"
"954457","42","VIOLATION"
"948584","1","INFRACTION"
"948584","22","FELONY"
"948584","54","MISDEMEANOR"
"948584","3","VIOLATION"
"956364","49","FELONY"
"956364","155","MISDEMEANOR"
"956364","7","VIOLATION"
"956365","18","FELONY"
"956365","75","MISDEMEANOR"
"940184","9","FELONY"
"940184","28","MISDEMEANOR"
"940184","3","VIOLATION"
"945451","2","INFRACTION"
"945451","20","FELONY"
"945451","52","MISDEMEANOR"
"945451","9","VIOLATION"
"972493","2","FELONY"
"972493","1","MISDEMEANOR"
"973194",NA,NA
"973195",NA,NA
"964858","1","INFRACTION"
"964858","53","FELONY"
"964858","34","MISDEMEANOR"
"968911","16","FELONY"
"968911","6","MISDEMEANOR"
"968208","12","FELONY"
"968208","12","MISDEMEANOR"
"972494","2","MISDEMEANOR"
"970366","4","FELONY"
"970366","7","MISDEMEANOR"
"968912","8","FELONY"
"968912","8","MISDEMEANOR"
"962195","6","FELONY"
"962195","27","MISDEMEANOR"
"962195","1","VIOLATION"
"889471","1","INFRACTION"
"889471","13","FELONY"
"889471","88","MISDEMEANOR"
"889471","3","OTHER"
"889471","2","VIOLATION"
"961591","1","INFRACTION"
"961591","8","FELONY"
