"taxnum","case_num","charge","case_value","disposition"
"933588",NA,NA,NA,NA
"959433",NA,NA,NA,NA
"941300",NA,NA,NA,NA
"972490",NA,NA,NA,NA
"954451",NA,NA,NA,NA
"932231",NA,NA,NA,NA
"948173",NA,NA,NA,NA
"951475",NA,NA,NA,NA
"972491",NA,NA,NA,NA
"947962",NA,NA,NA,NA
"971298",NA,NA,NA,NA
"965643",NA,NA,NA,NA
"941301",NA,NA,NA,NA
"968910",NA,NA,NA,NA
"954452",NA,NA,NA,NA
"957311",NA,NA,NA,NA
"944301",NA,NA,NA,NA
"918669",NA,NA,NA,NA
"960115","2017-17054","WHILE OFF- DUTY, ENGAGED IN A PHYSICAL ALTERCATION WITH A PERSON KNOWN TO THE DEPARTMENT","Case: 1, Penalty: COUNSELING, DISMISSAL PROBATION&nbsp;<i>(12 month(s) )</i>, ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS&nbsp;<i>(32 day(s) )","GUILTY"
"960115","2017-17054","CONSUMED AN INTOXICANT TO THE EXTENT THAT SHE WAS UNFIT FOR DUTY","Case: 1, Penalty: COUNSELING, DISMISSAL PROBATION&nbsp;<i>(12 month(s) )</i>, ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS&nbsp;<i>(32 day(s) )","GUILTY"
"951476",NA,NA,NA,NA
"956362",NA,NA,NA,NA
"932232",NA,NA,NA,NA
"955701",NA,NA,NA,NA
"949948",NA,NA,NA,NA
"971775",NA,NA,NA,NA
"948580","2014-11400","WHILE ON-DUTY, ABUSED HIS AUTHORITY WHEN HE REFUSED TO PROVIDE HIS NAME AND SHIELD NUMBER UPON A PERSON KNOWN TO THE DEPARTMENT's REQUEST.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(5 day(s) )","GUILTY"
"948580","2014-11400","WHILE ON-DUTY, WRONGFULLY ISSUED A PERSON KNOWN TO THE DEPARTMENT A SUMMONS WITHOUT SUFFICIENT LEGAL AUTHORITY.","Case: 1, Penalty: VACATION DAYS&nbsp;<i>(5 day(s) )","GUILTY"
"948580","2017-18317","Wrongfully issued a summons to an individual known to the Department.","Case: 2, Penalty: VACATION DAYS&nbsp;<i>(10 day(s) )","GUILTY"
"973191",NA,NA,NA,NA
"961589",NA,NA,NA,NA
"966920",NA,NA,NA,NA
"956363",NA,NA,NA,NA
"934362",NA,NA,NA,NA
"960116",NA,NA,NA,NA
"965915",NA,NA,NA,NA
"959434",NA,NA,NA,NA
"943994",NA,NA,NA,NA
"963364",NA,NA,NA,NA
"952379",NA,NA,NA,NA
"939839",NA,NA,NA,NA
"955702",NA,NA,NA,NA
"963828",NA,NA,NA,NA
"972492",NA,NA,NA,NA
"966921",NA,NA,NA,NA
