"taxnum","date","charge_count","allegation_count"
"933588",NA,NA,NA
"959433",NA,NA,NA
"941300",NA,NA,NA
"972490",NA,NA,NA
"954451",NA,NA,NA
"932231",NA,NA,NA
"948173",NA,NA,NA
"951475",NA,NA,NA
"972491",NA,NA,NA
"947962",NA,NA,NA
"971298",NA,NA,NA
"965643",NA,NA,NA
"941301",NA,NA,NA
"968910",NA,NA,NA
"954452",NA,NA,NA
"957311",NA,NA,NA
"944301",NA,NA,NA
"918669",NA,NA,NA
"960115","3/7/2017","2",NA
"951476",NA,NA,NA
"956362",NA,NA,NA
"932232",NA,NA,NA
"955701",NA,NA,NA
"949948",NA,NA,NA
"971775",NA,NA,NA
"948580","3/10/2015","2",NA
"948580","12/11/2017","1",NA
"973191",NA,NA,NA
"961589",NA,NA,NA
"966920",NA,NA,NA
"956363",NA,NA,NA
"934362",NA,NA,NA
"960116",NA,NA,NA
"965915",NA,NA,NA
"959434",NA,NA,NA
"943994",NA,NA,NA
"963364",NA,NA,NA
"952379",NA,NA,NA
"939839",NA,NA,NA
"955702",NA,NA,NA
"963828",NA,NA,NA
"972492",NA,NA,NA
"966921",NA,NA,NA
"953614",NA,NA,NA
"971776",NA,NA,NA
"941303",NA,NA,NA
"973192",NA,NA,NA
"948581",NA,NA,NA
"970959",NA,NA,NA
"942890",NA,NA,NA
"944259",NA,NA,NA
"924857",NA,NA,NA
"955703",NA,NA,NA
"961590",NA,NA,NA
"962910",NA,NA,NA
"942923","2/5/2016","2",NA
"942924","4/6/2010","3",NA
"968207",NA,NA,NA
"949949",NA,NA,NA
"936089",NA,NA,NA
"948582",NA,NA,NA
"969444",NA,NA,NA
"924858",NA,NA,NA
"973048",NA,NA,NA
"970960",NA,NA,NA
"963354",NA,NA,NA
"915211",NA,NA,NA
"960117",NA,NA,NA
"914653",NA,NA,NA
"971777",NA,NA,NA
"958211",NA,NA,NA
"954454",NA,NA,NA
"949950",NA,NA,NA
"967736",NA,NA,NA
"960119",NA,NA,NA
"945448",NA,NA,NA
"937932",NA,NA,NA
"957312",NA,NA,NA
"967737",NA,NA,NA
"960120",NA,NA,NA
"960121",NA,NA,NA
"942925",NA,NA,NA
"965131",NA,NA,NA
"946717",NA,NA,NA
"971778",NA,NA,NA
"907684",NA,NA,NA
"958212",NA,NA,NA
"941306",NA,NA,NA
"879276",NA,NA,NA
"949951",NA,NA,NA
"969445",NA,NA,NA
"941307",NA,NA,NA
"921890",NA,NA,NA
"941308",NA,NA,NA
"901526",NA,NA,NA
"921101",NA,NA,NA
"954456",NA,NA,NA
"969446",NA,NA,NA
"964354",NA,NA,NA
"949953",NA,NA,NA
"941309",NA,NA,NA
"937934",NA,NA,NA
"966922",NA,NA,NA
"941494",NA,NA,NA
"933590",NA,NA,NA
"938882",NA,NA,NA
"959483",NA,NA,NA
"941310",NA,NA,NA
"947701",NA,NA,NA
"947702",NA,NA,NA
"965917",NA,NA,NA
"970961",NA,NA,NA
"969447",NA,NA,NA
"929583",NA,NA,NA
"964856",NA,NA,NA
"958213",NA,NA,NA
"945450",NA,NA,NA
"927777",NA,NA,NA
"963830",NA,NA,NA
"941311",NA,NA,NA
"954457",NA,NA,NA
"948584",NA,NA,NA
"956364",NA,NA,NA
"956365",NA,NA,NA
"940184",NA,NA,NA
"945451",NA,NA,NA
"972493",NA,NA,NA
"973194",NA,NA,NA
"973195",NA,NA,NA
"964858",NA,NA,NA
"968911",NA,NA,NA
"968208",NA,NA,NA
"972494",NA,NA,NA
"970366",NA,NA,NA
"968912",NA,NA,NA
"962195",NA,NA,NA
"889471",NA,NA,NA
"961591",NA,NA,NA
"965644",NA,NA,NA
"968210",NA,NA,NA
