"taxnum","date","shield_num","title"
933588,"02/27/09",2442,"DETECTIVE"
933588,"01/20/04",2019,"POLICE OFFICER"
959433,"10/07/15",19427,"POLICE OFFICER"
941300,"07/10/06",44,"POLICE OFFICER"
972490,"10/12/21",5985,"POLICE OFFICER"
954451,"07/09/13",14835,"POLICE OFFICER"
932231,"07/01/03",318,"POLICE OFFICER"
948173,"10/26/18",497,"DETECTIVE"
948173,"07/14/09",25577,"POLICE OFFICER"
948173,"10/30/19",5007,"SERGEANT"
951475,"01/09/12",15589,"POLICE OFFICER"
951475,"02/09/22",1011,"SERGEANT"
972491,"10/12/21",335,"POLICE OFFICER"
947962,"01/14/09",9993,"POLICE OFFICER"
947962,"06/30/17",826,"SERGEANT"
971298,"04/28/21",10549,"POLICE OFFICER"
965643,"04/25/18",1677,"POLICE OFFICER"
941301,"07/10/06",578,"POLICE OFFICER"
968910,"01/06/20",27929,"POLICE OFFICER"
954452,"07/09/13",4825,"POLICE OFFICER"
957311,"01/07/15",15836,"POLICE OFFICER"
944301,"06/28/19",NA,"LIEUTENANT"
944301,"07/09/07",19572,"POLICE OFFICER"
944301,"01/28/16",2893,"SERGEANT"
918669,"02/28/14",NA,"CAPTAIN"
918669,"05/27/22",NA,"CHIEF OF STRATEGIC INITIATIVES"
918669,"03/18/21",NA,"DEPUTY CHIEF"
918669,"08/22/17",NA,"DEPUTY INSPECTOR"
918669,"11/26/19",NA,"INSPECTOR"
918669,"12/30/05",NA,"LIEUTENANT"
918669,"04/15/97",20282,"POLICE OFFICER"
918669,"11/26/02",188,"SERGEANT"
960115,"01/06/16",5967,"POLICE OFFICER"
951476,"01/09/12",15963,"POLICE OFFICER"
951476,"02/09/22",1046,"SERGEANT"
956362,"07/09/14",15447,"POLICE OFFICER"
932232,"07/30/21",NA,"CAPTAIN"
932232,"06/30/17",NA,"LIEUTENANT"
932232,"07/01/03",27235,"POLICE OFFICER"
932232,"04/24/09",118,"SERGEANT"
955701,"01/08/14",6138,"POLICE OFFICER"
949948,"10/26/18",3417,"DETECTIVE"
949948,"07/06/11",17282,"POLICE OFFICER"
949948,"09/03/21",1171,"SERGEANT"
971775,"07/07/21",16420,"POLICE OFFICER"
948580,"07/06/10",7927,"POLICE OFFICER"
973191,"12/29/21",20002,"POLICE OFFICER"
961589,"12/21/21",5641,"DETECTIVE"
961589,"07/13/16",14556,"POLICE OFFICER"
966920,"01/03/19",28181,"POLICE OFFICER"
956363,"07/09/14",12960,"POLICE OFFICER"
934362,"07/01/04",23787,"POLICE OFFICER"
960116,"01/06/16",2999,"POLICE OFFICER"
