Ticket_Number,O_Violation_Location_Borough,O_Violation_Location_Block_No.,O_Violation_Location_Lot_No,O_Violation_Location_House_No.,O_Violation_Location_Street_Name,O_Violation_Location_City,O_Violation_Location_Zip_Code,O_Violation_Location_State_Name,Category (Gemini),Revised_Address (Gemini)
190851430,BRONX,3143,130,2176,TIEBOUT AVENUE,BRONX,10457,NEW YORK,Full Address,2176 TIEBOUT AVENUE
196184708,BROOKLYN,5219,22,1050,OCEAN AVENUE,BROOKLYN,11226,NEW YORK,Full Address,1050 OCEAN AVENUE
196241834,QUEENS,.,.,.,INT OF CENTRAL AVE AND BEACH,QUEENS,.,NEW YORK,Intersection,CENTRAL AVE AND BEACH
196242292,QUEENS,.,.,.,BEACH CHANNEL DRIVE MOTT AVE,QUEENS,.,NEW YORK,Intersection,BEACH CHANNEL DRIVE AND MOTT AVE
196244840,QUEENS,15810,30,19-15,SEAGIRT BOULEVARD,FAR ROCKAWAY,11691,NEW YORK,Full Address,19-15 SEAGIRT BOULEVARD
196264925,QUEENS,.,.,.,C O HILLSIDE AVE SPRINGFIELD,QUEENS,.,NEW YORK,Intersection,HILLSIDE AVE AND SPRINGFIELD
196269581,QUEENS,.,.,.,UNION TURNPIKE 270 ST,QUEENS,.,NEW YORK,Intersection,UNION TURNPIKE AND 270 ST
196320722,MANHATTAN,1756,69,2,EAST 132 STREET,NEW YORK,10037,NEW YORK,Full Address,2 EAST 132 STREET
196374613,MANHATTAN,.,.,.,S E C O WEST 143 STREET 8TH,NEW YORK,.,NEW YORK,Intersection,WEST 143 ST AND STREET 8TH
196380892,BROOKLYN,1815,8,532,GATES AVENUE,BROOKLYN,11221,NEW YORK,Full Address,532 GATES AVENUE
196384421,BROOKLYN,1820,43,416,MONROE STREET,BROOKLYN,11221,NEW YORK,Full Address,416 MONROE STREET
196384440,BROOKLYN,.,.,.,N W CORNER MARCUS GARVEY HAL,BROOKLYN,.,NEW YORK,Insufficient Information,N W CORNER MARCUS GARVEY HAL
196384843,BROOKLYN,1732,19,180,THROOP AVENUE,BROOKLYN,11206,NEW YORK,Full Address,180 THROOP AVENUE
196384861,BROOKLYN,1863,21,1450,FULTON STREET,BROOKLYN,11216,NEW YORK,Full Address,1450 FULTON STREET
196385907,BROOKLYN,.,.,.,NOSTRAND AVE I O LEXINGTON,BROOKLYN,.,NEW YORK,Intersection,NOSTRAND AVE AND LEXINGTON
196385925,BROOKLYN,.,.,.,NOSTRAND AVE I O KOSCUISZKO,BROOKLYN,.,NEW YORK,Intersection,NOSTRAND AVE AND KOSCUISZKO
196386530,BROOKLYN,1775,66,707,DEKALB AVENUE,BROOKLYN,11216,NEW YORK,Full Address,707 DEKALB AVENUE
196386960,BROOKLYN,1808,51,784,MARCY AVENUE,BROOKLYN,11216,NEW YORK,Full Address,784 MARCY AVENUE
196387080,BROOKLYN,.,.,.,I O TOMPKINS AVE LEXINGTON A,BROOKLYN,.,NEW YORK,Intersection,TOMPKINS AVE AND LEXINGTON A
196396018,BROOKLYN,2097,143,10,FT GREENE PLACE,BROOKLYN,11217,NEW YORK,Full Address,10 FT GREENE PLACE
196403498,BROOKLYN,2413,20,301,UNION AVENUE,BROOKLYN,11211,NEW YORK,Full Address,301 UNION AVENUE
196425058,BROOKLYN,1145,1,623,VANDERBILT AVENUE,BROOKLYN,11238,NEW YORK,Full Address,623 VANDERBILT AVENUE
196425561,BROOKLYN,.,.,.,I O EASTERN PKWY ROCHESTER A,BROOKLYN,.,NEW YORK,Intersection,EASTERN PKWY AND ROCHESTER A
196427761,NOT NYC,.,.,.,STERLING PL UTICA AVE,.,.,NEW YORK,Intersection,STERLING PL AND UTICA AVE
196440283,BROOKLYN,.,.,.,LORIMER ST I O METROPOLITAN,BROOKLYN,.,NEW YORK,Intersection,LORIMER ST AND METROPOLITAN
196440292,BROOKLYN,.,.,.,BUSHWICK AVE GRAND ST,BROOKLYN,.,NEW YORK,Intersection,BUSHWICK AVE AND GRAND ST
196459991,BROOKLYN,.,.,.,I O HAVEMEYER ST SOUTH 2 ST,BROOKLYN,.,NEW YORK,Intersection,HAVEMEYER ST AND SOUTH 2 ST
196461495,BROOKLYN,1252,89,625,LINCOLN PLACE,BROOKLYN,11216,NEW YORK,Full Address,625 LINCOLN PLACE
196464016,BROOKLYN,.,.,.,ROGERS AVE PARK PL,BROOKLYN,.,NEW YORK,Intersection,ROGERS AVE AND PARK PL
196464759,BROOKLYN,1379,1,1433,ST JOHNS PLACE,BROOKLYN,11213,NEW YORK,Full Address,1433 ST JOHNS PLACE
196464768,BROOKLYN,1200,70,1233,PACIFIC STREET,BROOKLYN,11216,NEW YORK,Full Address,1233 PACIFIC STREET
196471166,BROOKLYN,2369,17,394,METROPOLITAN AVENUE,BROOKLYN,11211,NEW YORK,Full Address,394 METROPOLITAN AVENUE
196471175,BROOKLYN,.,.,.,C O NASSAU AVE AND LEONARD S,BROOKLYN,.,NEW YORK,Intersection,NASSAU AVE AND LEONARD S
196473622,BROOKLYN,2649,1,120,NORMAN AVENUE,BROOKLYN,11222,NEW YORK,Full Address,120 NORMAN AVENUE
196590534,BROOKLYN,.,.,.,82 STREET 7 AVE,BROOKLYN,.,NEW YORK,Intersection,82 STREET AND 7 AVE
196591295,BROOKLYN,.,.,.,73 STREET 13 AVENUE,BROOKLYN,.,NEW YORK,Intersection,73 STREET AND 13 AVENUE
196591790,BROOKLYN,.,.,.,65 ST FORT HAMILTON PKWY,BROOKLYN,.,NEW YORK,Intersection,65 ST AND FORT HAMILTON PKWY
196591991,BROOKLYN,.,.,.,92 STREET AND DAHLGREEN PL,BROOKLYN,.,NEW YORK,Intersection,92 STREET AND DAHLGREEN PL
196595053,BROOKLYN,5750,19,6502,FT HAMILTON PARKWAY,BROOKLYN,11219,NEW YORK,Full Address,6502 FT HAMILTON PARKWAY
196595511,BROOKLYN,.,.,.,95 STREET 4 AVENUE,BROOKLYN,.,NEW YORK,Intersection,95 STREET AND 4 AVENUE
196611205,BROOKLYN,990,50,61,9 STREET,BROOKLYN,11215,NEW YORK,Full Address,61 9 STREET
196616081,BROOKLYN,1061,29,222,LINCOLN PLACE,BROOKLYN,11217,NEW YORK,Full Address,222 LINCOLN PLACE
196619776,BROOKLYN,1088,4,293,7 AVENUE,BROOKLYN,11215,NEW YORK,Full Address,293 7 AVENUE
196654729,BROOKLYN,.,.,.,20TH AVE 78 ST,BROOKLYN,.,NEW YORK,Intersection,20TH AVE AND 78 ST
196662950,BRONX,.,.,.,BRONXWOOD AVE WARING AVE,BRONX,.,NEW YORK,Intersection,BRONXWOOD AVE AND WARING AVE
196664005,BRONX,.,.,.,EASTCHESTER RD WATERS PL,BRONX,.,NEW YORK,Intersection,EASTCHESTER RD AND WATERS PL
196665480,BRONX,.,.,.,PROSPECT AV JENNINGS ST,BRONX,.,NEW YORK,Intersection,PROSPECT AV AND JENNINGS ST
196671860,BRONX,.,.,.,E 222 ST BRONX BLVD,BRONX,.,NEW YORK,Intersection,E 222 ST AND ST BRONX BLVD
196673328,BRONX,4766,58,3052,EASTCHESTER ROAD,BRONX,10469,NEW YORK,Full Address,3052 EASTCHESTER ROAD
196673777,BRONX,.,.,.,SWCO LACONIA AVE E 218 ST,BRONX,.,NEW YORK,Intersection,SWCO LACONIA AVE AND E 218 ST
196674372,BRONX,.,.,.,INTERSECTION BRONX BLVD E 23,BRONX,.,NEW YORK,Intersection,INTERSECTION BRONX BLVD AND E 23
196676215,BRONX,.,.,.,MAGEATA ST - BARNES AVE,BRONX,.,NEW YORK,Intersection,MAGEATA ST AND - BARNES AVE
196677434,BRONX,.,.,.,W B E 231 ST CARPENTER AVE,BRONX,.,NEW YORK,Intersection,E 231 ST AND ST CARPENTER AVE
196696730,BRONX,5771,20,3600,FIELDSTON ROAD,BRONX,10463,NEW YORK,Full Address,3600 FIELDSTON ROAD
196703522,BRONX,.,.,.,I O E 149 ST ST ANNS AVE,BRONX,.,NEW YORK,Intersection,E 149 ST AND ST ST ANNS AVE
196706245,BRONX,.,.,.,E 144 ST WILLIS AVE,BRONX,.,NEW YORK,Intersection,E 144 ST AND ST WILLIS AVE
196711433,BRONX,.,.,.,E 169 BOSTON ROAD N W CORNER,BRONX,.,NEW YORK,Intersection,E 169 ST AND BOSTON ROAD
196719921,BRONX,.,.,.,C O E B PROSPECT AVE BOSTON,BRONX,.,NEW YORK,Intersection,PROSPECT AVE AND BOSTON
196726577,BRONX,3173,48,2415,CRESTON AVENUE,BRONX,10468,NEW YORK,Full Address,2415 CRESTON AVENUE
196726640,BRONX,3166,69,120,EAST FORDHAM ROAD,BRONX,10468,NEW YORK,Full Address,120 EAST FORDHAM ROAD
196730317,BRONX,.,.,.,N W C O E 180 STREET CROTONA,BRONX,.,NEW YORK,Intersection,E 180 ST AND STREET CROTONA
197771310,MANHATTAN,.,.,.,INTERSECTION BROADWAY E HOUS,NEW YORK,.,NEW YORK,Insufficient Information,INTERSECTION BROADWAY E HOUS
197774720,MANHATTAN,.,.,.,MONROE ST MARKET,NEW YORK,.,NEW YORK,Intersection,MONROE ST AND MARKET
197778360,MANHATTAN,208,19,193,CENTRE STREET,NEW YORK,10013,NEW YORK,Full Address,193 CENTRE STREET
197782366,MANHATTAN,.,.,.,EAST 3RD STREET AVENUE A,NEW YORK,.,NEW YORK,Intersection,EAST 3RD STREET AND AVENUE A
197789415,MANHATTAN,.,.,.,E HOUSTON MOTT ST N W CORNER,NEW YORK,.,NEW YORK,Insufficient Information,E HOUSTON MOTT ST
197817025,MANHATTAN,.,.,.,E B E HOUSTON ONTO S B COLUM,NEW YORK,.,NEW YORK,Insufficient Information,E HOUSTON ONTO S B COLUM
