Ticket_Number,O_Violation_Location_Borough,O_Violation_Location_Block_No.,O_Violation_Location_Lot_No,O_Violation_Location_House_No.,O_Violation_Location_Street_Name,O_Violation_Location_City,O_Violation_Location_Zip_Code,O_Violation_Location_State_Name,Category (Gemini),Revised_Address (Gemini),Updated_Address,Ticket used,,,,,,,,,,,,,
196384440,BROOKLYN,.,.,.,N W CORNER MARCUS GARVEY HAL,BROOKLYN,.,NEW YORK,Insufficient Information,N W CORNER MARCUS GARVEY HAL,Halsey St & Marcus Garvey Blvd,TRUE,,,,,,,,,,,,,
197771310,MANHATTAN,.,.,.,INTERSECTION BROADWAY E HOUS,NEW YORK,.,NEW YORK,Insufficient Information,INTERSECTION BROADWAY E HOUS,Broadway & E Houston St,FALSE,,,,,,,,,,,,,
197789415,MANHATTAN,.,.,.,E HOUSTON MOTT ST N W CORNER,NEW YORK,.,NEW YORK,Insufficient Information,E HOUSTON MOTT ST,E Houston St & Mott St,FALSE,,,,,,,,,,,,,
197817025,MANHATTAN,.,.,.,E B E HOUSTON ONTO S B COLUM,NEW YORK,.,NEW YORK,Insufficient Information,E HOUSTON ONTO S B COLUM,E Houston St & Columbia St,TRUE,,,,,,,,,,,,,
197844323,MANHATTAN,.,.,.,AVE D EAST HOUSTON,NEW YORK,.,NEW YORK,Insufficient Information,AVE D EAST HOUSTON,E Houston St & Avenue D,FALSE,,,,,,,,,,,,,
198092768,MANHATTAN,.,.,.,CHAMBERS CHURCH ST,NEW YORK,.,NEW YORK,Insufficient Information,CHAMBERS CHURCH ST,Chambers St & Church St,FALSE,,,,,,,,,,,,,
198204198,MANHATTAN,.,.,.,I O 7 AVENUE WEST 26 STREET,NEW YORK,.,NEW YORK,Insufficient Information,7 AVENUE WEST 26 STREET,W 26th St & 7th Ave,FALSE,,,,,,,,,,,,,
198433941,MANHATTAN,.,.,.,S W C O AMSTERDAM W 145 ST,NEW YORK,.,NEW YORK,Insufficient Information,AMSTERDAM W 145 ST,W 145 St & Amsterdam Av,FALSE,,,,,,,,,,,,,
198440303,MANHATTAN,.,.,.,ST NICHOLAS AVENUE W 127 STR,NEW YORK,.,NEW YORK,Insufficient Information,ST NICHOLAS AVENUE W 127 STR,St Nicholas Ave & W 127th St,FALSE,,,,,,,,,,,,,
198585925,MANHATTAN,.,.,.,2 AVENUE EAST 97 ST,NEW YORK,.,NEW YORK,Insufficient Information,2 AVENUE EAST 97 ST,2nd Ave & E 97th St,FALSE,,,,,,,,,,,,,
198923102,QUEENS,.,.,.,METROPOLITAN 73 PL,QUEENS,.,NEW YORK,Insufficient Information,METROPOLITAN 73 PL,Metropolitan Ave & 73rd Pl,FALSE,,,,,,,,,,,,,
199003760,QUEENS,.,.,.,S E C O JOHN F KENNEDY CIR 6,QUEENS,.,NEW YORK,Insufficient Information,JOHN F KENNEDY CIR 6,John F Kennedy Cir & 68th Ave,TRUE,,,,,,,,,,,,,
199083794,QUEENS,.,.,.,S E HORACE HARDING JUNCTION,QUEENS,.,NEW YORK,Insufficient Information,S E HORACE HARDING JUNCTION,Junction Blvd & Horace Harding Expy,TRUE,,,,,,,,,,,,,
199205610,QUEENS,.,.,.,35 AVENUE PARSONS BOULEVARD,QUEENS,.,NEW YORK,Insufficient Information,35 AVENUE PARSONS BOULEVARD,35th Ave & Parsons Blvd,FALSE,,,,,,,,,,,,,
199213200,QUEENS,.,.,.,BOOTH MEMORIAL 137 ST,QUEENS,.,NEW YORK,Insufficient Information,BOOTH MEMORIAL 137 ST,Booth Memorial Ave & 137th St,FALSE,,,,,,,,,,,,,
199237015,QUEENS,.,.,.,INTERSECTION OF HOYT AVES 27,QUEENS,.,NEW YORK,Insufficient Information,INTERSECTION OF HOYT AVES 27,27th St & Hoyt Ave S,FALSE,,,,,,,,,,,,,
199239013,QUEENS,.,.,.,INTERSECTION OF BROADWAY 30,QUEENS,.,NEW YORK,Insufficient Information,INTERSECTION OF BROADWAY 30,Broadway & 30th St,FALSE,,,,,,,,,,,,,
199244019,QUEENS,.,.,.,I O DAHLIA AVENUE MAIN STREE,QUEENS,.,NEW YORK,Insufficient Information,DAHLIA AVENUE MAIN STREE,Main St & Dahlia Ave,FALSE,,,,,,,,,,,,,
199264818,QUEENS,.,.,.,S E C O WHIITESTONE EXP SR 1,QUEENS,.,NEW YORK,Insufficient Information,WHIITESTONE EXP SR 1,Whitestone Expy & 14th Ave,TRUE,,,,,,,,,,,,,
199330322,QUEENS,.,.,.,S W CORNER OF WINCHESTER BLV,QUEENS,.,NEW YORK,Insufficient Information,S W CORNER OF WINCHESTER BLV,Winchester Blvd & Hillside Ave,TRUE,,,,,,,,,,,,,
199516002,QUEENS,.,.,.,I O MOTT AVENUE BEACH CHANNE,QUEENS,.,NEW YORK,Insufficient Information,MOTT AVENUE BEACH CHANNE,Beach Channel Dr & Mott Ave,FALSE,,,,,,,,,,,,,
199615397,QUEENS,.,.,.,JAMAICA AE FOREST PARK DR,QUEENS,.,NEW YORK,Insufficient Information,JAMAICA AE FOREST PARK DR,Jamaica Ave & Forest Pkwy,FALSE,,,,,,,,,,,,,
199725938,BROOKLYN,.,.,.,E 83RD FOSTER,BROOKLYN,.,NEW YORK,Insufficient Information,E 83RD FOSTER,E 83rd St & Foster Ave,FALSE,,,,,,,,,,,,,
199771579,BROOKLYN,.,.,.,E B AVENUE J W B E 17 STREET,BROOKLYN,.,NEW YORK,Insufficient Information,AVENUE J W B E 17 STREET,Avenue J & E 17th St,FALSE,,,,,,,,,,,,,
199822050,BROOKLYN,.,.,.,AVE K E 72 ST,BROOKLYN,.,NEW YORK,Insufficient Information,AVE K E 72 ST,Avenue K & E 72nd St,FALSE,,,,,,,,,,,,,
199913836,BROOKLYN,.,.,.,C O AVENUE V W 7 STREET,BROOKLYN,.,NEW YORK,Insufficient Information,AVENUE V W 7 STREET,Ave V & W 7th St,FALSE,,,,,,,,,,,,,
199913845,BROOKLYN,.,.,.,C O SENSON AVENUE BAY 32 STR,BROOKLYN,.,NEW YORK,Insufficient Information,SENSON AVENUE BAY 32 STR,Benson Ave & Bay 32nd St,TRUE,,,,,,,,,,,,,
199925303,BROOKLYN,.,.,.,AVE N E 56 ST,BROOKLYN,.,NEW YORK,Insufficient Information,AVE N E 56 ST,Avenue N & E 56th St,FALSE,,,,,,,,,,,,,
199961282,BROOKLYN,.,.,.,INTERSECTION OF 71ST STREET,BROOKLYN,.,NEW YORK,Insufficient Information,INTERSECTION OF 71ST STREET,Ridge Blvd & 71st St,TRUE,,,,,,,,,,,,,
199975041,BROOKLYN,.,.,.,N B C O FT HAMILTON PKWAY 48,BROOKLYN,.,NEW YORK,Insufficient Information,C O FT HAMILTON PKWAY 48,Fort Hamilton Pkwy & 48th St,TRUE,,,,,,,,,,,,,
199975142,BROOKLYN,.,.,.,AVE M EAST 4TH ST,BROOKLYN,.,NEW YORK,Insufficient Information,AVE M EAST 4TH ST,E 4th St & Avenue M,FALSE,,,,,,,,,,,,,
199991359,BROOKLYN,.,.,.,INTERSECTION OF OVINGTON AVE,BROOKLYN,.,NEW YORK,Insufficient Information,INTERSECTION OF OVINGTON AVE,5th Ave & Ovington Ave,TRUE,,,,,,,,,,,,,
200008784,BROOKLYN,.,.,.,S W CORNER FLATBUSH AVENUE I,BROOKLYN,.,NEW YORK,Insufficient Information,S W CORNER FLATBUSH AVENUE I,Avenue U & Flatbush Ave,TRUE,,,,,,,,,,,,,
200064563,BROOKLYN,.,.,.,I O AVE M E 2ND ST,BROOKLYN,.,NEW YORK,Insufficient Information,AVE M E 2ND ST,E 2nd St & Avenue M,FALSE,,,,,,,,,,,,,
200182337,BROOKLYN,.,.,.,I O S B OCEAN AVENUE AVENUE,BROOKLYN,.,NEW YORK,Insufficient Information,OCEAN AVENUE AVENUE,Ocean Ave & Avenue W,TRUE,,,,,,,,,,,,,
