Ticket_Number,O_violation_location_borough,O_violation_location_block_no,O_violation_location_lot_no,O_violation_location_house_no,O_violation_location_street_name,O_violation_location_city,O_violation_location_zip_code,O_violation_location_state,Category (Gemini),Revised_Address (Gemini),Updated_Address,Ticket used
196464813,BROOKLYN,,,,EASTERN PARKWAY BUFFALO AVEN,BROOKLYN,,NEW YORK,Insufficient Information,EASTERN PARKWAY BUFFALO AVEN,Eastern Pkwy & Buffalo Ave,FALSE
196675820,NOT NYC,,,,BROADWAY W 47 ST,,,,Insufficient Information,BROADWAY W 47 ST,Broadway & W 47th St,FALSE
197778460,MANHATTAN,,,,KENMARE STREET,MANHATTAN,,NEW YORK,Insufficient Information,KENMARE STREET,Kenmare St,FALSE
197882109,MANHATTAN,,,,I O DIVISION STREET PIKE STR,NEW YORK,,NEW YORK,Insufficient Information,DIVISION STREET PIKE STR,Division St & Pike St,FALSE
198058805,MANHATTAN,,,,N EC O W 50 9TH,NEW YORK,,NEW YORK,Insufficient Information,N EC O W 50 9TH,W 50th St & 9th Avenue,TRUE
198164295,MANHATTAN,,,,E 46 STREET 1 AVENUE,NEW YORK,,NEW YORK,Insufficient Information,E 46 STREET 1 AVENUE,E 46th St & 1st Ave,FALSE
198319770,MANHATTAN,,,,W 181 STREET AUDUBON AVE,NEW YORK,,NEW YORK,Insufficient Information,W 181 STREET AUDUBON AVE,Audubon Ave & W 181st St,FALSE
198488548,MANHATTAN,,,,82ND BROADWAY,NEW YORK,,NEW YORK,Insufficient Information,82ND BROADWAY,W 82nd St & Broadway,FALSE
198664346,QUEENS,,,,I O FLUSHING MEADOW PARK,QUEENS,,NEW YORK,Insufficient Information,FLUSHING MEADOW PARK,17 Ederle Promenade,FALSE
198886959,STATEN IS,,,,VAN DUZER WRIGHT ST,STATEN ISLAND,,NEW YORK,Insufficient Information,VAN DUZER WRIGHT ST,Van Duzer & Wright St,FALSE
198963784,QUEENS,,,,GANTRY STATE PLAZA,QUEENS,,NEW YORK,Insufficient Information,GANTRY STATE PLAZA,Gantry State Plaza,FALSE
198980688,QUEENS,,,,79 STREET 37 AVE,QUEENS,,NEW YORK,Insufficient Information,79 STREET 37 AVE,79th St & 37th Ave,FALSE
198985940,QUEENS,,,,FLUSHING MEADOWS CORONA PARK,CORONA,,NEW YORK,Insufficient Information,FLUSHING MEADOWS CORONA PARK,17 Ederle Promenade,FALSE
199000167,QUEENS,,,,NB SPRINGFIELD WB HORACE HAR,QUEENS,,NEW YORK,Insufficient Information,NB SPRINGFIELD WB HORACE HAR,Springfield Blvd & Horace Harding Expy,FALSE
199017271,QUEENS,,,,I O 108 STREET HORACE HARDIN,QUEENS,,NEW YORK,Insufficient Information,108 STREET HORACE HARDIN,108th St & Horace Harding Expy,FALSE
199084573,QUEENS,,,,AUSTIN STREET 62 AVENUE,QUEENS,,NEW YORK,Insufficient Information,AUSTIN STREET 62 AVENUE,Austin St & 62nd Ave,FALSE
199244385,QUEENS,,,,C O 149 STREET 20 AVENUE,QUEENS,,NEW YORK,Insufficient Information,149 STREET 20 AVENUE,149th St & 20th Ave,FALSE
199249481,QUEENS,,,,41 AVENUE HAIGHT STREET,QUEENS,,NEW YORK,Insufficient Information,41 AVENUE HAIGHT STREET,41st Ave & Haight St,FALSE
199307608,QUEENS,,,,C O 147 AVENUE SPRINGFIELD B,QUEENS,,NEW YORK,Insufficient Information,147 AVENUE SPRINGFIELD B,147th Ave & Springfield Blvd,FALSE
199375469,QUEENS,,,,90 AVENUE 210 PLACE,QUEENS,,NEW YORK,Insufficient Information,90 AVENUE 210 PLACE,90th Ave & 210th Pl,FALSE
199733124,BROOKLYN,,,,BEVERLY ROAD I O ARGYLE ROAD,BROOKLYN,,NEW YORK,Insufficient Information,BEVERLY ROAD I O ARGYLE ROAD,Beverly Rd & Argyle Rd,FALSE
199771606,BROOKLYN,,,,FLATBUSH AVENUE I O GLENWOOD,BROOKLYN,,NEW YORK,Insufficient Information,FLATBUSH AVENUE I O GLENWOOD,Flatbush Rd & Glenwood Ave,FALSE
199913854,BROOKLYN,,,,86 STREET I O STILLWELL AVE,BROOKLYN,,NEW YORK,Insufficient Information,86 STREET I O STILLWELL AVE,86th St & Stillwell Ave,FALSE
199938806,MANHATTAN,,,,BROADWAY W 32 ST,NEW YORK,,NEW YORK,Insufficient Information,BROADWAY W 32 ST,Broadway & W 32nd St,FALSE
200036605,BROOKLYN,,,,I O 8TH AVENUE 9TH STREET,BROOKLYN,,NEW YORK,Insufficient Information,8TH AVENUE 9TH STREET,8th Ave & 9th St,FALSE
